row,column,valid,R,SNR,PI,SQI,SpO2_ref,SpO2_C,HR_bpm
0,S11,True,0.326088369,10.7849541,0.0146945892,184,86,92,78
0,S12,True,0.348010868,10.2992611,0.0116928229,168,95,91,96
0,S13,True,0.306112707,12.3047247,0.0151160453,193,96,93,78
0,S14,True,0.32412082,11.9083576,0.015532759,195,93,92,84
0,S15,True,0.853777885,9.21862316,0.0369112752,95,94,77,48
0,S16,True,0.332598239,11.2861576,0.0144219315,184,94,92,84
0,S17,True,0.302366257,12.1574154,0.0129245799,187,94,93,90
0,S18,True,0.319124818,11.0140858,0.013965074,186,94,93,90
0,S19,True,0.379764199,11.4248638,0.0140043469,190,91,90,90
0,S20,True,0.38439548,12.8926325,0.0149889616,199,90,90,84
0,S21,True,0.406967342,11.6279879,0.0150946882,186,89,89,84
0,S22,True,0.434882581,10.3663778,0.0137047609,170,88,88,84
0,S23,True,0.397428632,11.0965042,0.0144320512,182,90,90,90
0,S24,True,0.48716554,10.8053226,0.0101768151,172,88,86,102
0,S25,True,0.557529271,11.2752867,0.0151997171,187,86,84,90
0,S26,True,0.497557163,10.9667912,0.0134872403,182,86,86,84
0,S27,True,0.473994553,11.2945251,0.0140901934,187,87,87,84
0,S28,True,0.536661685,10.6182003,0.01186735,178,81,85,96
0,S29,True,0.464455128,12.1347961,0.0117510958,191,82,87,90
0,S30,True,0.560339451,10.2492723,0.0107157789,175,81,84,90
0,S31,True,0.579491615,10.508976,0.0106451334,174,76,83,102
0,S32,True,0.537586391,10.5591478,0.012150486,182,80,85,90
0,S33,True,0.661174595,10.9634018,0.0132851247,182,76,81,96
0,S34,True,0.77727288,12.32129,0.0134294275,193,72,78,96
1,S0,True,0.377308518,9.44938278,0.00201094197,79,97,90,30
1,S1,False,0.451077431,8.35197353,0.00715133734,146,97,88,42
1,S2,False,0.362444729,8.24031067,0.00455454178,132,97,91,72
1,S3,True,0.261950582,11.9004583,0.00510212267,186,96,95,72
1,S4,False,0.402119547,8.8767395,0.0238978695,137,97,89,36
1,S5,True,0.283138931,9.40234184,0.00553482119,158,97,94,66
1,S6,True,0.226337403,11.5063953,0.00619360292,183,97,97,72
1,S7,True,0.281393111,11.1310635,0.00820502359,191,97,94,66
1,S8,True,0.275018871,9.79013538,0.0078048599,172,96,94,66
1,S9,True,0.271378398,11.8475389,0.0100528952,193,93,95,66
1,S10,True,0.221925333,11.8645821,0.0101076858,187,93,97,72
1,S11,True,0.448364943,10.8521709,0.010998752,180,97,88,30
1,S12,True,0.258617342,12.7650833,0.00931334589,200,96,95,72
1,S13,True,0.250802249,12.8032913,0.0103030782,200,96,95,72
1,S14,True,0.277461082,11.5616474,0.0110860663,191,96,94,72
1,S15,True,0.285859168,11.7169075,0.0129686482,192,95,94,72
1,S16,True,0.280216694,11.5039978,0.0127158184,191,74,94,78
1,S17,True,0.269447207,12.4119816,0.0130308215,198,95,95,78
1,S18,True,0.340385467,9.96717262,0.0125555424,165,93,92,72
1,S19,True,0.306254357,11.7888174,0.0129618263,187,94,93,66
1,S20,True,0.424760371,9.17851639,0.0111911828,149,94,89,30
1,S21,True,0.376281321,12.5020742,0.0140833845,197,91,90,72
1,S22,True,0.36143139,12.913662,0.0120487884,199,90,91,72
1,S23,True,0.395733088,12.7098131,0.0134852901,199,90,90,72
1,S24,True,0.375427812,9.94262505,0.0153588215,169,90,90,66
1,S25,True,0.506124198,10.5254021,0.0835392252,94,89,86,48
1,S26,True,0.419949859,12.0983543,0.0141271986,191,89,89,72
1,S27,True,0.503228426,11.3925667,0.0124140792,189,84,86,72
1,S28,True,0.483000308,11.6037264,0.0130424388,192,81,87,72
1,S29,True,0.387287349,10.3840675,0.0113070561,178,85,90,84
1,S30,True,0.63842541,11.4977856,0.0121997017,178,81,82,84
1,S31,True,0.649304211,12.4851894,0.0129507622,195,76,81,84
1,S32,True,0.745928705,9.2409935,0.0141579295,164,72,79,78
2,S0,True,0.415530831,9.79546833,0.0024029843,82,97,89,72
2,S1,True,0.443372399,10.1444893,0.00311156409,99,97,88,72
2,S2,True,0.317582667,11.6466475,0.00349404872,129,97,93,66
2,S3,True,0.387854695,12.8535357,0.00776307425,198,97,90,72
2,S4,True,0.346946895,12.2999115,0.0068737478,192,97,91,78
2,S5,True,0.324184239,11.5031252,0.00617754832,179,97,92,72
2,S6,True,0.313419938,11.8435688,0.0073435707,186,97,93,84
2,S7,True,0.314319968,12.5631857,0.00810552575,194,96,93,78
2,S8,True,0.289910764,12.8713179,0.0083124442,197,96,94,78
2,S9,True,0.294254929,11.66152,0.00609563151,189,96,94,84
2,S10,True,0.353266269,12.203392,0.00607370492,189,97,91,78
2,S11,True,0.336224854,12.701663,0.0073260176,196,97,92,78
2,S12,True,0.291541725,11.5168753,0.0304570645,151,97,94,78
2,S13,True,0.274274021,12.7916412,0.0305619407,158,96,94,78
2,S14,True,0.288098961,12.5789461,0.0314183868,153,95,94,72
2,S15,True,0.306624234,11.7535877,0.00853338186,189,96,93,84
2,S16,True,0.311089396,12.2358074,0.0110194897,196,98,93,78
2,S17,True,0.266564935,11.72721,0.0109032346,184,94,95,78
2,S18,True,0.289201081,11.5953712,0.0347068086,130,95,94,78
2,S19,True,0.304801911,11.669301,0.0233391318,178,94,93,78
2,S20,True,0.30962038,12.9514704,0.037638355,132,93,93,78
2,S21,True,0.343652219,10.5220327,0.0333220698,128,94,92,90
2,S22,True,0.338242382,11.1234102,0.0252765659,156,93,92,96
2,S23,True,0.336577743,11.404747,0.0368676893,125,92,92,90
2,S24,True,0.346825957,12.7486506,0.0305478051,158,90,92,90
2,S25,True,0.375711322,11.8662357,0.0295505449,154,91,90,84
2,S26,True,0.367485255,12.771595,0.0341171287,143,89,91,90
2,S27,True,0.360272288,11.9209805,0.0213939846,191,87,91,84
2,S28,True,0.35912317,11.1113758,0.0145430313,186,85,91,78
2,S29,True,0.379912585,11.829771,0.00746255089,184,84,90,78
2,S30,True,0.496430904,12.5533371,0.0311505478,154,81,86,90
2,S31,True,0.519633412,12.4280872,0.0227602962,184,81,85,90
3,S0,False,0.588336825,5.68379641,0.0396863483,51,98,83,54
3,S1,True,0.237590283,12.0549431,0.00622465229,199,97,96,60
3,S2,True,0.368816942,13.3743343,0.0123351561,213,97,91,54
3,S3,True,0.363259584,11.6177988,0.00546140969,188,98,91,60
3,S4,True,0.492006719,10.4899778,0.00700347964,172,97,86,54
3,S5,True,0.285498202,13.092514,0.00447344081,182,98,94,60
3,S6,True,0.43509084,13.0146837,0.0138796382,208,96,88,60
3,S7,True,0.405459493,13.0703907,0.0095052775,199,96,89,60
3,S8,True,0.313727468,12.9789648,0.00482548494,194,96,93,66
3,S9,True,0.361112952,11.1988497,0.0100439899,192,98,91,54
3,S10,True,0.325830281,13.14995,0.00553198438,205,98,92,60
3,S11,True,0.29860276,12.0291538,0.00665787235,203,98,93,60
3,S12,True,0.28537035,13.3771439,0.00660751481,209,98,94,60
3,S13,True,0.304394752,13.3873959,0.0082900282,208,98,93,60
3,S14,True,0.287260234,11.7909718,0.00642744359,198,97,94,66
3,S15,True,0.303268522,13.1458778,0.00785187259,209,96,93,60
3,S16,True,0.409249961,10.8178444,0.00956952386,190,97,89,66
3,S17,True,0.279648006,11.7463102,0.00563709345,197,96,94,66
3,S18,True,0.333900452,11.2999964,0.0137656974,193,93,92,60
3,S19,True,0.272918522,12.3825989,0.00918059703,191,96,95,66
3,S20,True,0.279735565,12.5446873,0.0104195811,200,96,94,60
3,S21,True,0.429854125,12.2933779,0.0126973074,206,86,88,66
3,S22,True,0.381561399,13.083478,0.00996021833,201,92,90,66
3,S23,True,0.51910907,12.8760357,0.0116548482,208,86,85,66
3,S24,True,0.525000513,12.461998,0.0113818822,203,82,85,72
3,S25,True,0.480323404,12.7182178,0.00936263707,200,84,87,66
3,S26,True,0.56818378,13.1605186,0.0125616677,208,82,84,72
4,S0,True,0.259162366,9.90127659,0.00350242364,105,96,95,72
4,S1,True,0.172916338,9.6696806,0.00631247181,169,96,99,60
4,S2,True,0.320320874,11.4116688,0.0061921915,183,97,93,72
4,S3,True,0.316783577,9.75913525,0.00815704465,169,97,93,60
4,S4,True,0.192095339,10.1012516,0.00681176456,172,97,98,66
4,S5,True,0.202261716,9.18113804,0.00632724632,169,97,98,60
4,S6,True,0.225227043,12.3910627,0.00727638742,193,97,97,66
4,S7,True,0.244871497,11.9805431,0.00798563007,190,98,96,66
4,S8,True,0.244095236,12.3412189,0.00637419568,199,96,96,72
4,S9,True,0.180058017,10.3299103,0.00873821788,185,96,99,66
4,S10,True,0.195986867,11.7039156,0.00814359915,198,97,98,72
4,S11,True,0.190777078,11.3559332,0.00949784089,189,96,98,66
4,S12,True,0.220118746,11.6775551,0.00727967778,196,95,97,72
4,S13,True,0.218865722,10.8430433,0.0102433721,187,96,97,60
4,S14,True,0.212451056,10.2275105,0.0115265315,182,96,97,60
4,S15,True,0.257388711,10.4843187,0.0146707911,185,95,95,54
4,S16,True,0.232363462,12.7420282,0.0100210821,205,95,96,72
4,S17,True,0.250733048,12.6757431,0.00843029656,201,95,95,84
4,S18,True,0.284715652,10.388916,0.00707881199,172,95,94,78
4,S19,True,0.257406145,10.9974594,0.00812910404,188,95,95,84
4,S20,True,0.230735406,11.1480923,0.0100843282,172,93,96,90
4,S21,True,0.374016166,11.3671017,0.0103836628,189,90,90,72
4,S22,True,0.359980673,11.7431183,0.0120809237,194,89,91,72
4,S23,False,0.394603699,8.24233627,0.0087651005,148,90,90,72
4,S24,True,0.319764405,12.0408325,0.00744696427,195,89,93,84
4,S25,True,0.376874775,12.3490887,0.0101513714,198,83,90,84
4,S26,False,0.314360172,8.29375172,0.00925068092,151,92,93,78
4,S27,True,0.429057568,12.0070152,0.00813912228,201,88,88,84
4,S28,True,0.411115229,12.1054888,0.0131469918,204,87,89,78
4,S29,True,0.390069097,13.3443527,0.0164483562,211,86,90,84
5,S0,True,0.240240157,12.0339499,0.00809597224,192,98,96,66
5,S1,True,0.242244303,12.2028646,0.0109619796,197,98,96,66
5,S2,True,0.247827664,10.6905231,0.0138397738,184,98,96,66
5,S3,True,0.239855692,10.8677683,0.00581069151,168,98,96,78
5,S4,True,0.247112542,10.0399036,0.0140451314,182,97,96,66
5,S5,True,0.256192565,10.2290745,0.00670107966,173,98,95,78
5,S6,True,0.25581786,13.3458271,0.00736477459,203,97,95,66
5,S7,True,0.252314955,11.1069593,0.0142745413,190,97,95,66
5,S8,True,0.264865041,12.2875233,0.0149795134,197,97,95,72
5,S9,True,0.242338479,11.3954029,0.0139716575,181,97,96,72
5,S10,True,0.253940403,10.9063253,0.0117823621,174,97,95,84
5,S11,True,0.267432809,11.9614782,0.011651082,183,97,95,72
5,S12,True,0.65217495,9.8735733,0.0285615008,132,73,81,54
5,S13,True,0.271279424,10.0716505,0.012088622,172,97,95,84
5,S14,True,0.266970277,11.830987,0.0174406227,193,98,95,72
5,S15,True,0.281930774,10.6422386,0.0237014964,165,97,94,72
5,S16,True,0.295868725,9.21972179,0.0108949598,172,95,94,78
5,S17,True,0.305849522,9.48002911,0.0222859625,160,95,93,72
5,S18,True,0.299969077,9.84496689,0.0141184153,166,95,93,84
5,S19,True,0.307682067,10.3447199,0.00996884517,166,93,93,96
5,S20,True,0.306560993,10.9238262,0.0183873046,182,95,93,78
5,S21,True,0.309966147,12.4712772,0.0128153684,191,95,93,78
5,S22,True,0.354053706,11.2130566,0.0179891661,181,92,91,78
5,S23,False,0.350001067,8.53926849,0.010339818,158,92,91,84
5,S24,True,0.341678262,9.83376408,0.010668329,169,90,92,90
5,S25,True,0.336684018,12.8228226,0.0132749686,196,90,92,72
5,S26,True,0.4176552,10.8266058,0.012489548,180,91,89,78
5,S27,True,0.403331339,10.6071053,0.013733956,172,89,89,90
5,S28,True,0.400906324,10.6875496,0.014844818,174,88,89,84
5,S29,False,0.405616224,8.18691349,0.011026944,147,92,89,90
5,S30,True,0.388516277,12.0144997,0.016127456,188,89,90,78
5,S31,True,0.521673024,11.1611137,0.0121698221,182,82,85,84
5,S32,True,0.519648194,10.9233513,0.0141508849,182,84,85,72
5,S33,True,0.575962901,11.1407995,0.0159493145,180,84,84,84
6,S0,False,0.262328953,7.13930845,0.00215893378,60,97,95,78
6,S1,False,0.517804444,7.64746189,0.00165824045,58,99,85,36
6,S2,True,0.200445428,9.53589249,0.00311808498,96,97,98,66
6,S3,True,0.229307801,12.1820869,0.00301672216,112,98,96,60
6,S4,True,0.320701391,12.5015717,0.0033081756,135,98,93,60
6,S5,True,0.208656207,10.5951138,0.00403820351,137,96,97,66
6,S6,False,0.307925284,8.95704937,0.00333321444,85,95,93,66
6,S7,True,0.302443296,12.6572723,0.00356554915,139,94,93,66
6,S8,True,0.335286111,12.2193718,0.00646397658,192,93,92,66
6,S9,True,0.317969203,11.3825684,0.0038240375,134,93,93,66
6,S10,True,0.328318179,11.316679,0.00439680321,163,92,92,60
6,S11,True,0.341164261,11.7637205,0.00574700674,188,94,92,60
6,S12,True,0.338645428,10.6104555,0.00558704138,183,93,92,60
6,S13,True,0.365690708,12.1926823,0.00604865421,188,92,91,66
6,S14,True,0.363316387,11.2152042,0.00657898467,177,75,91,72
6,S15,True,0.29967013,12.0023537,0.00478882995,185,95,93,60
6,S16,True,0.570327044,10.5339823,0.0101761147,172,98,84,30
6,S17,True,0.293224096,11.5851126,0.00635086093,187,95,94,60
6,S18,True,0.417781204,11.091135,0.008133417,165,99,89,30
6,S19,True,0.334546536,10.7944756,0.00555741834,179,97,92,60
6,S20,True,0.337448627,11.8834696,0.00786777213,185,94,92,60
6,S21,True,0.406754166,12.2008114,0.00557119865,191,87,89,72
6,S22,True,0.476935655,12.6798573,0.0102482382,204,87,87,66
6,S23,True,0.390553802,10.0911942,0.006583157,160,87,90,66
6,S24,True,0.494399726,11.0002279,0.00998428836,184,86,86,66
6,S25,False,0.484434962,8.23086166,0.00729734451,151,87,86,78
6,S26,True,0.502611339,11.6906919,0.00913408119,187,86,86,66
6,S27,False,0.45901534,8.24843597,0.00986711215,153,86,87,66
6,S28,True,0.463465005,11.1182938,0.012646406,188,87,87,66
6,S29,True,0.459823042,12.2217789,0.0159410257,202,88,87,60
6,S30,True,0.424575746,12.4432735,0.0117554525,196,87,89,60
6,S31,True,0.508409798,11.469101,0.0122156478,193,85,86,72
6,S32,True,0.514035821,10.5282927,0.0123319393,178,84,85,60
6,S33,True,0.75580591,11.0505085,0.0125873964,182,73,79,72
7,S0,True,0.357862204,9.87165546,0.00395035371,126,99,91,66
7,S1,True,0.256570816,12.5441532,0.00430510612,168,99,95,66
7,S2,True,0.263696283,9.94446087,0.00511965714,165,99,95,72
7,S3,True,0.294711232,13.3184872,0.00470713805,192,99,94,66
7,S4,True,0.248587415,12.9855499,0.00555989705,198,99,96,66
7,S5,False,0.241525486,8.61386395,0.00372107327,112,99,96,72
7,S6,True,0.204332769,11.2597189,0.00373145915,132,97,98,72
7,S7,True,0.272387207,9.08638287,0.0038208724,111,99,95,84
7,S8,True,0.454613149,9.36229324,0.00314476015,74,99,87,30
7,S9,True,0.325065374,11.6209364,0.00256546307,112,98,92,66
7,S10,False,0.439440787,8.80791092,0.00405306183,118,99,88,78
7,S11,False,0.22530593,7.92033243,0.00423356472,122,98,97,78
7,S12,True,0.225149572,9.64133739,0.00321282214,96,97,97,84
7,S13,False,0.213727757,8.59904766,0.00427261274,123,98,97,90
7,S14,True,0.255326271,9.49846363,0.00568128331,166,99,95,78
7,S15,False,0.169935435,8.29681301,0.00355581031,98,99,99,78
7,S16,True,0.370782942,10.4926662,0.0175368693,183,95,91,36
7,S17,True,0.252882957,11.0444088,0.00679581147,190,97,95,72
7,S18,False,0.341611683,8.21967983,0.00503946468,149,95,92,84
7,S19,False,0.326293439,7.95969391,0.00628376286,148,96,92,90
7,S20,False,0.289834112,7.51105595,0.00480030337,131,94,94,84
7,S21,False,0.445415467,5.80514479,0.00349724246,69,93,88,102
7,S22,False,0.290412962,7.73775005,0.00310945767,67,94,94,96
7,S23,False,0.775006652,7.46387005,0.00281509967,59,94,78,42
7,S24,True,0.50780642,9.68404007,0.00499992864,166,87,86,96
7,S25,False,0.359928548,5.61612511,0.00239093741,49,92,91,84
7,S26,False,0.346664488,6.6583395,0.00365416496,83,90,92,72
7,S27,True,0.382004619,9.59132957,0.00571916904,170,94,90,72
7,S28,True,0.267913103,9.61973286,0.00408823555,136,95,95,90
7,S29,True,0.270005465,10.7667675,0.00569905294,184,95,95,78
7,S30,True,0.369041592,10.4988308,0.00448525511,156,93,91,84
7,S31,True,0.297564805,10.1549511,0.00547152385,179,94,93,72
7,S32,True,0.289442927,9.40683651,0.0035494105,111,93,94,78
7,S33,False,0.469498545,8.22962856,0.00304065063,80,82,87,96
7,S34,False,0.693777978,8.82600212,0.0046253819,136,75,80,78
8,S0,True,0.183345452,12.5094795,0.00783310086,203,92,98,54
8,S1,True,0.184248313,13.1800756,0.0095733339,209,93,98,54
8,S2,True,0.223646969,11.4309273,0.00830072537,190,92,97,60
8,S3,True,0.202622503,11.8993282,0.00589771243,194,95,98,60
8,S4,True,0.145608127,12.1815767,0.00554759335,195,96,100,60
8,S5,True,0.200762942,11.3286114,0.00753798243,190,93,98,66
8,S6,True,0.185941949,10.7651186,0.00704558427,185,93,98,60
8,S7,True,0.152100384,11.2412453,0.00663609104,186,94,100,60
8,S8,True,0.119739138,12.2390985,0.0073982859,197,94,100,60
8,S9,True,0.224591121,12.4153032,0.00665439572,203,93,97,54
8,S10,True,0.189364031,13.0108118,0.00697187567,200,93,98,60
8,S11,True,0.186776444,10.9122076,0.00793088228,189,93,98,60
8,S12,True,0.230667904,12.878624,0.00463115796,187,92,96,60
8,S13,True,0.537548125,10.1394005,0.00330748735,97,92,85,36
8,S14,True,0.144940779,11.6259813,0.00814705156,194,93,100,60
8,S15,True,0.240272731,10.9886827,0.00792544894,190,91,96,54
8,S16,True,0.22045444,10.8520412,0.00628406694,181,87,97,66
8,S17,True,0.246213585,10.9762459,0.00802506972,178,90,96,60
8,S18,True,0.288014591,10.6991081,0.00623846846,174,95,94,66
8,S19,True,0.262058526,12.5928679,0.0111339577,200,92,95,60
8,S20,True,0.299681604,12.5450811,0.0108679272,205,90,93,60
8,S21,True,0.418002039,12.8690987,0.0095012011,205,85,89,60
8,S22,True,0.761836708,12.4918165,0.00612336956,195,72,79,66
8,S23,True,0.53140378,11.3541679,0.00946570095,193,77,85,66
8,S24,True,0.484378576,12.968173,0.00808007549,206,79,86,66
8,S25,True,0.325336695,13.1180201,0.00979093742,207,86,92,60
8,S26,True,0.316051871,11.6580257,0.00803472474,195,85,93,60
8,S27,True,0.389782012,13.3282328,0.00767449941,212,83,90,60
8,S28,True,0.428264827,9.78717518,0.00620656088,166,80,88,60
8,S29,False,0.52028054,7.89234829,0.00570625532,139,72,85,66
8,S30,True,0.605290294,12.2871037,0.0078374939,192,70,83,72
